"Day","Line Item Id","Publisher Account Id","Advertiser Account Id","Publisher Account Name","Advertiser Account Name","Line Item Name","Line Item Type","Connatix Demand Revenue","Publisher Total Revenue ($)","Publisher Demand Revenue"
"01-DEC-2023","0430631e-4f31-433a-b14b-6de70bf6a83b","e7e48e30-140f-40ba-8646-4ecd024b277a","e7e48e30-140f-40ba-8646-4ecd024b277a","Automatad AdServing","Automatad AdServing","Smartadserver - Line item - CC","Prebid.js",0.00,0.48,0.48
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","06b38f96-5482-472c-9bd6-51fa334dad3b","Automatad AdServing","LoopMe S2S","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.19,0.19,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","1626e1a3-9252-458b-ba63-31f547d4c01b","Automatad AdServing","Media.Net","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",14.64,14.64,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","1d73d9ef-fa29-4c16-bad5-82002c247b60","Automatad AdServing","AdX CS","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",407.78,407.78,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","28b62037-651a-4add-843c-a3b64d00cba1","Automatad AdServing","Basis Technologies","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",1.97,1.97,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","2e8d5d91-b6d1-4a60-b4ac-ca086b83edbc","Automatad AdServing","OpenX CS","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",1.83,1.83,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","2f4fcc3e-4203-4d73-a49e-993731cb1613","Automatad AdServing","FreeWheel CS","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.06,0.06,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","31761ea9-e3ba-402e-a5bd-5c0619d7bcc3","Automatad AdServing","Beeswax","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",35.09,35.09,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","36f3d9f0-e638-4d79-ae01-e0f4e1837156","Automatad AdServing","Tatari","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.09,0.09,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","3bf9c127-a7a5-48d2-b67c-94c65b64530c","Automatad AdServing","Index Exchange S2S","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.97,0.97,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","77451326-920e-4640-8c1c-63875241369a","Automatad AdServing","Crimtan US","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.10,0.10,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","8417fa89-d46f-4f3e-8db0-29f8700d8dea","Automatad AdServing","Xandr","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.00,0.00,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","89bd1676-710b-4cdb-88c5-baf2f2a1d5a1","Automatad AdServing","Sovrn","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.00,0.00,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","8e56423e-1e51-4902-8165-2c927f9c3c11","Automatad AdServing","PulsePoint","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",4.23,4.23,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","93afe1a6-294f-483a-8297-6171a7737d0d","Automatad AdServing","Magnite APAC","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.16,0.16,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","93c863ee-e92c-4521-85d2-96f6ab7e7ce4","Automatad AdServing","OpenX S2S","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",20.66,20.66,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","985776d3-48c2-4174-8267-0e6b21225fe5","Automatad AdServing","FreeWheel S2S","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.07,0.07,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","a03351c9-e53f-4bdb-9b75-4b2b97755a5d","Automatad AdServing","Google DV360","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",8.78,8.78,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","b36d87b7-da1e-44ac-aa75-1ea476277c8b","Automatad AdServing","Amazon DSP","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.81,0.81,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","b37d0415-8161-48e1-90c7-43e1ced224ac","Automatad AdServing","Colossus","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",30.27,30.27,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","bd9388dd-a234-48a6-a5f0-61f39021b8af","Automatad AdServing","Pubmatic EMEA","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",1.28,1.28,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","c6c01b58-55f2-4912-8456-a8fbedcf8f4d","Automatad AdServing","Beeswax EU","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.00,0.00,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","cb11cf94-0123-49ee-bbf9-2d1a01b24b8d","Automatad AdServing","USA_Today_Adv","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.86,0.86,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","cd16c023-4ff8-4aaf-a7ff-65e97be4108f","Automatad AdServing","PubMatic S2S","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",30.61,30.61,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","d45c0310-d2ca-4658-b31c-eadc04afaf21","Automatad AdServing","Magnite","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",43.52,43.52,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","d573a9d2-eb39-4eeb-8a45-dffdb976af91","Automatad AdServing","Viant","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",1.36,1.36,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","d9c65afb-b366-41bb-8594-8c17b5007dfc","Automatad AdServing","33Across","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.61,0.61,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","ec628ce0-a04e-47ae-8e82-1e42ba30ee81","Automatad AdServing","diDNA","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.16,0.16,0.00
"01-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","f67db0ec-790f-4be7-b9c5-5865ff0522d5","Automatad AdServing","Amobee","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.21,0.21,0.00
"01-DEC-2023","13f2fe5b-215b-487b-98f7-b47594903d24","e7e48e30-140f-40ba-8646-4ecd024b277a","e7e48e30-140f-40ba-8646-4ecd024b277a","Automatad AdServing","Automatad AdServing","Media.net - Line item","Prebid.js",0.00,2.34,2.34
"01-DEC-2023","1cae8441-6349-478e-a6d5-f4d9b106b9a7","e7e48e30-140f-40ba-8646-4ecd024b277a","e7e48e30-140f-40ba-8646-4ecd024b277a","Automatad AdServing","Automatad AdServing","Sharethrough - Line item","Prebid.js",0.00,1.22,1.22
"01-DEC-2023","2d0e6476-1fb3-4e2b-84f6-1bef13e9dee7","e7e48e30-140f-40ba-8646-4ecd024b277a","e7e48e30-140f-40ba-8646-4ecd024b277a","Automatad AdServing","Automatad AdServing","Xandr - CC - Line Item","Prebid.js",0.00,0.76,0.76
"01-DEC-2023","2ffd86e6-18f9-44cc-a62a-f757ba0810e2","e7e48e30-140f-40ba-8646-4ecd024b277a","e7e48e30-140f-40ba-8646-4ecd024b277a","Automatad AdServing","Automatad AdServing","OpenX - CC - Line Item","Prebid.js",0.00,4.42,4.42
"01-DEC-2023","46978c48-c1f3-441a-8e34-312884e01acf","e7e48e30-140f-40ba-8646-4ecd024b277a","e7e48e30-140f-40ba-8646-4ecd024b277a","Automatad AdServing","Automatad AdServing","Default_CommandCooking_Mobile_Atd_AdX_video","Third Party",0.00,22.11,22.11
"01-DEC-2023","6ae35362-dd2c-49b8-9995-441f7ae7958b","e7e48e30-140f-40ba-8646-4ecd024b277a","e7e48e30-140f-40ba-8646-4ecd024b277a","Automatad AdServing","Automatad AdServing","Media.net - S2S - Line Item","SSB",0.00,13.75,13.75
"01-DEC-2023","7001b72c-8d71-4c10-b079-4700d4e41254","e7e48e30-140f-40ba-8646-4ecd024b277a","1626e1a3-9252-458b-ba63-31f547d4c01b","Automatad AdServing","Media.Net","Default Connatix Exchange Line Item (No AdX)","Connatix Exchange",3.46,3.46,0.00
"01-DEC-2023","7001b72c-8d71-4c10-b079-4700d4e41254","e7e48e30-140f-40ba-8646-4ecd024b277a","28b62037-651a-4add-843c-a3b64d00cba1","Automatad AdServing","Basis Technologies","Default Connatix Exchange Line Item (No AdX)","Connatix Exchange",1.16,1.16,0.00
"01-DEC-2023","7001b72c-8d71-4c10-b079-4700d4e41254","e7e48e30-140f-40ba-8646-4ecd024b277a","2e8d5d91-b6d1-4a60-b4ac-ca086b83edbc","Automatad AdServing","OpenX CS","Default Connatix Exchange Line Item (No AdX)","Connatix Exchange",1.15,1.15,0.00
"01-DEC-2023","7001b72c-8d71-4c10-b079-4700d4e41254","e7e48e30-140f-40ba-8646-4ecd024b277a","31761ea9-e3ba-402e-a5bd-5c0619d7bcc3","Automatad AdServing","Beeswax","Default Connatix Exchange Line Item (No AdX)","Connatix Exchange",3.22,3.22,0.00
"01-DEC-2023","7001b72c-8d71-4c10-b079-4700d4e41254","e7e48e30-140f-40ba-8646-4ecd024b277a","8e56423e-1e51-4902-8165-2c927f9c3c11","Automatad AdServing","PulsePoint","Default Connatix Exchange Line Item (No AdX)","Connatix Exchange",0.34,0.34,0.00
"01-DEC-2023","7001b72c-8d71-4c10-b079-4700d4e41254","e7e48e30-140f-40ba-8646-4ecd024b277a","93c863ee-e92c-4521-85d2-96f6ab7e7ce4","Automatad AdServing","OpenX S2S","Default Connatix Exchange Line Item (No AdX)","Connatix Exchange",0.00,0.00,0.00
"01-DEC-2023","7001b72c-8d71-4c10-b079-4700d4e41254","e7e48e30-140f-40ba-8646-4ecd024b277a","985776d3-48c2-4174-8267-0e6b21225fe5","Automatad AdServing","FreeWheel S2S","Default Connatix Exchange Line Item (No AdX)","Connatix Exchange",0.00,0.00,0.00
"01-DEC-2023","7001b72c-8d71-4c10-b079-4700d4e41254","e7e48e30-140f-40ba-8646-4ecd024b277a","a03351c9-e53f-4bdb-9b75-4b2b97755a5d","Automatad AdServing","Google DV360","Default Connatix Exchange Line Item (No AdX)","Connatix Exchange",55.89,55.89,0.00
"01-DEC-2023","7001b72c-8d71-4c10-b079-4700d4e41254","e7e48e30-140f-40ba-8646-4ecd024b277a","b36d87b7-da1e-44ac-aa75-1ea476277c8b","Automatad AdServing","Amazon DSP","Default Connatix Exchange Line Item (No AdX)","Connatix Exchange",0.26,0.26,0.00
"01-DEC-2023","7001b72c-8d71-4c10-b079-4700d4e41254","e7e48e30-140f-40ba-8646-4ecd024b277a","cd16c023-4ff8-4aaf-a7ff-65e97be4108f","Automatad AdServing","PubMatic S2S","Default Connatix Exchange Line Item (No AdX)","Connatix Exchange",0.12,0.12,0.00
"01-DEC-2023","7001b72c-8d71-4c10-b079-4700d4e41254","e7e48e30-140f-40ba-8646-4ecd024b277a","d45c0310-d2ca-4658-b31c-eadc04afaf21","Automatad AdServing","Magnite","Default Connatix Exchange Line Item (No AdX)","Connatix Exchange",7.23,7.23,0.00
"01-DEC-2023","7001b72c-8d71-4c10-b079-4700d4e41254","e7e48e30-140f-40ba-8646-4ecd024b277a","d573a9d2-eb39-4eeb-8a45-dffdb976af91","Automatad AdServing","Viant","Default Connatix Exchange Line Item (No AdX)","Connatix Exchange",0.25,0.25,0.00
"01-DEC-2023","7001b72c-8d71-4c10-b079-4700d4e41254","e7e48e30-140f-40ba-8646-4ecd024b277a","f67db0ec-790f-4be7-b9c5-5865ff0522d5","Automatad AdServing","Amobee","Default Connatix Exchange Line Item (No AdX)","Connatix Exchange",0.14,0.14,0.00
"01-DEC-2023","7396d107-1518-4012-ade6-bfca95a3cb53","e7e48e30-140f-40ba-8646-4ecd024b277a","e7e48e30-140f-40ba-8646-4ecd024b277a","Automatad AdServing","Automatad AdServing","GoLaurens_ATD IND_Atd_AdX-IN_video","Third Party",0.00,1.39,1.39
"01-DEC-2023","911ccefe-e71a-4dac-a65b-2619474c4f88","e7e48e30-140f-40ba-8646-4ecd024b277a","e7e48e30-140f-40ba-8646-4ecd024b277a","Automatad AdServing","Automatad AdServing","Pulsepoint - CC - Line Item","Prebid.js",0.00,0.06,0.06
"01-DEC-2023","92f66730-3f21-4eb4-a33a-5eb690bc75d8","e7e48e30-140f-40ba-8646-4ecd024b277a","e7e48e30-140f-40ba-8646-4ecd024b277a","Automatad AdServing","Automatad AdServing","Conversant - CC - Line item","Prebid.js",0.00,2.48,2.48
"01-DEC-2023","93f08104-b2f4-4e44-8626-653f84bc4b11","e7e48e30-140f-40ba-8646-4ecd024b277a","e7e48e30-140f-40ba-8646-4ecd024b277a","Automatad AdServing","Automatad AdServing","Rise Line Item","Prebid.js",0.00,1.25,1.25
"01-DEC-2023","94eaa037-b9d1-4fef-babc-98e9c6142da8","e7e48e30-140f-40ba-8646-4ecd024b277a","e7e48e30-140f-40ba-8646-4ecd024b277a","Automatad AdServing","Automatad AdServing","Pubmatic Line item","Prebid.js",0.00,2.49,2.49
"01-DEC-2023","c0497400-1f86-4499-89ae-f1e62928aa59","e7e48e30-140f-40ba-8646-4ecd024b277a","e7e48e30-140f-40ba-8646-4ecd024b277a","Automatad AdServing","Automatad AdServing","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]","Amazon TAM",0.00,35.62,35.62
"01-DEC-2023","d619e4a5-a6eb-4557-930a-3e701202d33d","e7e48e30-140f-40ba-8646-4ecd024b277a","e7e48e30-140f-40ba-8646-4ecd024b277a","Automatad AdServing","Automatad AdServing","Unruly Line Item","Prebid.js",0.00,1.09,1.09
"02-DEC-2023","0430631e-4f31-433a-b14b-6de70bf6a83b","e7e48e30-140f-40ba-8646-4ecd024b277a","e7e48e30-140f-40ba-8646-4ecd024b277a","Automatad AdServing","Automatad AdServing","Smartadserver - Line item - CC","Prebid.js",0.00,0.49,0.49
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","06b38f96-5482-472c-9bd6-51fa334dad3b","Automatad AdServing","LoopMe S2S","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",3.52,3.52,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","1626e1a3-9252-458b-ba63-31f547d4c01b","Automatad AdServing","Media.Net","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",18.55,18.55,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","1d73d9ef-fa29-4c16-bad5-82002c247b60","Automatad AdServing","AdX CS","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",425.90,425.90,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","28b62037-651a-4add-843c-a3b64d00cba1","Automatad AdServing","Basis Technologies","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",1.87,1.87,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","2e8d5d91-b6d1-4a60-b4ac-ca086b83edbc","Automatad AdServing","OpenX CS","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",1.78,1.78,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","2f4fcc3e-4203-4d73-a49e-993731cb1613","Automatad AdServing","FreeWheel CS","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.09,0.09,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","31761ea9-e3ba-402e-a5bd-5c0619d7bcc3","Automatad AdServing","Beeswax","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",32.23,32.23,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","36f3d9f0-e638-4d79-ae01-e0f4e1837156","Automatad AdServing","Tatari","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.05,0.05,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","3bf9c127-a7a5-48d2-b67c-94c65b64530c","Automatad AdServing","Index Exchange S2S","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.48,0.48,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","77451326-920e-4640-8c1c-63875241369a","Automatad AdServing","Crimtan US","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.03,0.03,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","8417fa89-d46f-4f3e-8db0-29f8700d8dea","Automatad AdServing","Xandr","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.02,0.02,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","89bd1676-710b-4cdb-88c5-baf2f2a1d5a1","Automatad AdServing","Sovrn","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.00,0.00,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","8e56423e-1e51-4902-8165-2c927f9c3c11","Automatad AdServing","PulsePoint","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",3.88,3.88,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","93afe1a6-294f-483a-8297-6171a7737d0d","Automatad AdServing","Magnite APAC","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.05,0.05,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","93c863ee-e92c-4521-85d2-96f6ab7e7ce4","Automatad AdServing","OpenX S2S","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",23.34,23.34,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","985776d3-48c2-4174-8267-0e6b21225fe5","Automatad AdServing","FreeWheel S2S","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.15,0.15,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","a03351c9-e53f-4bdb-9b75-4b2b97755a5d","Automatad AdServing","Google DV360","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",15.66,15.66,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","b36d87b7-da1e-44ac-aa75-1ea476277c8b","Automatad AdServing","Amazon DSP","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.87,0.87,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","b37d0415-8161-48e1-90c7-43e1ced224ac","Automatad AdServing","Colossus","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",42.56,42.56,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","bd9388dd-a234-48a6-a5f0-61f39021b8af","Automatad AdServing","Pubmatic EMEA","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.21,0.21,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","cb11cf94-0123-49ee-bbf9-2d1a01b24b8d","Automatad AdServing","USA_Today_Adv","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.87,0.87,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","cd16c023-4ff8-4aaf-a7ff-65e97be4108f","Automatad AdServing","PubMatic S2S","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",22.41,22.41,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","d45c0310-d2ca-4658-b31c-eadc04afaf21","Automatad AdServing","Magnite","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",49.00,49.00,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","d573a9d2-eb39-4eeb-8a45-dffdb976af91","Automatad AdServing","Viant","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",1.16,1.16,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","d9c65afb-b366-41bb-8594-8c17b5007dfc","Automatad AdServing","33Across","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.47,0.47,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","ec628ce0-a04e-47ae-8e82-1e42ba30ee81","Automatad AdServing","diDNA","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.16,0.16,0.00
"02-DEC-2023","08d83b0b-7e08-4bfb-840f-51ac52b78c92","e7e48e30-140f-40ba-8646-4ecd024b277a","f67db0ec-790f-4be7-b9c5-5865ff0522d5","Automatad AdServing","Amobee","Default Connatix Exchange Line Item (All Demand & No Lecap)","Connatix Exchange",0.22,0.22,0.00
"02-DEC-2023","13f2fe5b-215b-487b-98f7-b47594903d24","e7e48e30-140f-40ba-8646-4ecd024b277a","e7e48e30-140f-40ba-8646-4ecd024b277a","Automatad AdServing","Automatad AdServing","Media.net - Line item","Prebid.js",0.00,2.71,2.71
"02-DEC-2023","1cae8441-6349-478e-a6d5-f4d9b106b9a7","e7e48e30-140f-40ba-8646-4ecd024b277a","e7e48e30-140f-40ba-8646-4ecd024b277a","Automatad AdServing","Automatad AdServing","Sharethrough - Line item","Prebid.js",0.00,3.50,3.50
"02-DEC-2023","2d0e6476-1fb3-4e2b-84f6-1bef13e9dee7","e7e48e30-140f-40ba-8646-4ecd024b277a","e7e48e30-140f-40ba-8646-4ecd024b277a","Automatad AdServing","Automatad AdServing","Xandr - CC - Line Item","Prebid.js",0.00,0.67,0.67
"02-DEC-2023","2ffd86e6-18f9-44cc-a62a-f757ba0810e2","e7e48e30-140f-40ba-8646-4ecd024b277a","e7e48e30-140f-40ba-8646-4ecd024b277a","Automatad AdServing","Automatad AdServing","OpenX - CC - Line Item","Prebid.js",0.00,5.55,5.55
"02-DEC-2023","46978c48-c1f3-441a-8e34-312884e01acf","e7e48e30-140f-40ba-8646-4ecd024b277a","e7e48e30-140f-40ba-8646-4ecd024b277a","Automatad AdServing","Automatad AdServing","Default_CommandCooking_Mobile_Atd_AdX_video","Third Party",0.00,25.41,25.41
"02-DEC-2023","6ae35362-dd2c-49b8-9995-441f7ae7958b","e7e48e30-140f-40ba-8646-4ecd024b277a","e7e48e30-140f-40ba-8646-4ecd024b277a","Automatad AdServing","Automatad AdServing","Media.net - S2S - Line Item","SSB",0.00,17.13,17.13
"02-DEC-2023","7001b72c-8d71-4c10-b079-4700d4e41254","e7e48e30-140f-40ba-8646-4ecd024b277a","1626e1a3-9252-458b-ba63-31f547d4c01b","Automatad AdServing","Media.Net","Default Connatix Exchange Line Item (No AdX)","Connatix Exchange",0.64,0.64,0.00
"02-DEC-2023","7001b72c-8d71-4c10-b079-4700d4e41254","e7e48e30-140f-40ba-8646-4ecd024b277a","28b62037-651a-4add-843c-a3b64d00cba1","Automatad AdServing","Basis Technologies","Default Connatix Exchange Line Item (No AdX)","Connatix Exchange",0.16,0.16,0.00
"02-DEC-2023","7001b72c-8d71-4c10-b079-4700d4e41254","e7e48e30-140f-40ba-8646-4ecd024b277a","2e8d5d91-b6d1-4a60-b4ac-ca086b83edbc","Automatad AdServing","OpenX CS","Default Connatix Exchange Line Item (No AdX)","Connatix Exchange",0.02,0.02,0.00
